date,open,high,low,close,volume
2025-10-21,1450.00,1465.50,1440.25,1460.75,2150000
2025-10-21,1460.75,1475.00,1455.50,1470.30,2080000
2025-10-21,1470.30,1485.75,1465.00,1480.50,2250000
2025-10-21,1480.50,1495.25,1475.00,1490.75,2450000
2025-10-21,1490.75,1505.00,1485.50,1500.25,2380000
2025-10-22,1500.25,1515.75,1495.00,1510.50,2290000
2025-10-22,1510.50,1525.25,1505.75,1520.00,2420000
2025-10-22,1520.00,1535.50,1515.25,1530.75,2350000
2025-10-22,1530.75,1545.00,1525.50,1540.25,2480000
2025-10-22,1540.25,1555.75,1535.00,1550.50,2520000
2025-10-23,1550.50,1565.25,1545.75,1560.00,2380000
2025-10-23,1560.00,1575.50,1555.25,1570.75,2450000
2025-10-23,1570.75,1585.00,1565.50,1580.25,2420000
2025-10-23,1580.25,1595.75,1575.00,1590.50,2550000
2025-10-23,1590.50,1605.25,1585.75,1600.00,2480000
2025-10-24,1600.00,1615.50,1595.25,1610.75,2380000
2025-10-24,1610.75,1625.00,1605.50,1620.25,2420000
2025-10-24,1620.25,1635.75,1615.00,1630.50,2450000
2025-10-24,1630.50,1645.25,1625.75,1640.00,2520000
2025-10-24,1640.00,1655.50,1635.25,1650.75,2580000
2025-10-25,1650.75,1665.00,1645.50,1660.25,2450000
2025-10-25,1660.25,1675.75,1655.00,1670.50,2480000
2025-10-25,1670.50,1685.25,1665.75,1680.00,2520000
2025-10-25,1680.00,1695.50,1675.25,1690.75,2550000
2025-10-25,1690.75,1705.00,1685.50,1700.25,2480000
