date,open,high,low,close,volume
2025-10-21,2800.00,2825.50,2790.25,2815.75,1250000
2025-10-21,2815.75,2830.00,2805.50,2822.30,1180000
2025-10-21,2822.30,2835.75,2818.00,2831.50,1320000
2025-10-21,2831.50,2845.25,2825.00,2840.75,1450000
2025-10-21,2840.75,2855.00,2835.50,2850.25,1380000
2025-10-22,2850.25,2865.75,2845.00,2858.50,1290000
2025-10-22,2858.50,2870.25,2850.75,2865.00,1420000
2025-10-22,2865.00,2875.50,2860.25,2870.75,1350000
2025-10-22,2870.75,2880.00,2865.50,2875.25,1480000
2025-10-22,2875.25,2885.75,2870.00,2882.50,1520000
2025-10-23,2882.50,2890.25,2875.75,2885.00,1380000
2025-10-23,2885.00,2895.50,2880.25,2890.75,1450000
2025-10-23,2890.75,2900.00,2885.50,2895.25,1420000
2025-10-23,2895.25,2905.75,2890.00,2900.50,1550000
2025-10-23,2900.50,2910.25,2895.75,2905.00,1480000
2025-10-24,2905.00,2915.50,2900.25,2910.75,1380000
2025-10-24,2910.75,2920.00,2905.50,2915.25,1420000
2025-10-24,2915.25,2925.75,2910.00,2920.50,1450000
2025-10-24,2920.50,2930.25,2915.75,2925.00,1520000
2025-10-24,2925.00,2935.50,2920.25,2930.75,1580000
2025-10-25,2930.75,2940.00,2925.50,2935.25,1450000
2025-10-25,2935.25,2945.75,2930.00,2940.50,1480000
2025-10-25,2940.50,2950.25,2935.75,2945.00,1520000
2025-10-25,2945.00,2955.50,2940.25,2950.75,1550000
2025-10-25,2950.75,2960.00,2945.50,2955.25,1480000
