date,open,high,low,close,volume
2025-10-21,3500.00,3520.50,3485.25,3515.75,980000
2025-10-21,3515.75,3535.00,3505.50,3525.30,920000
2025-10-21,3525.30,3545.75,3520.00,3535.50,1050000
2025-10-21,3535.50,3555.25,3530.00,3545.75,1180000
2025-10-21,3545.75,3565.00,3540.50,3555.25,1120000
2025-10-22,3555.25,3575.75,3550.00,3565.50,1050000
2025-10-22,3565.50,3585.25,3560.75,3575.00,1180000
2025-10-22,3575.00,3595.50,3570.25,3585.75,1150000
2025-10-22,3585.75,3605.00,3580.50,3595.25,1280000
2025-10-22,3595.25,3615.75,3590.00,3605.50,1320000
2025-10-23,3605.50,3625.25,3600.75,3615.00,1180000
2025-10-23,3615.00,3635.50,3610.25,3625.75,1250000
2025-10-23,3625.75,3645.00,3620.50,3635.25,1220000
2025-10-23,3635.25,3655.75,3630.00,3645.50,1350000
2025-10-23,3645.50,3665.25,3640.75,3655.00,1280000
2025-10-24,3655.00,3675.50,3650.25,3665.75,1180000
2025-10-24,3665.75,3685.00,3660.50,3675.25,1220000
2025-10-24,3675.25,3695.75,3670.00,3685.50,1250000
2025-10-24,3685.50,3705.25,3680.75,3695.00,1320000
2025-10-24,3695.00,3715.50,3690.25,3705.75,1380000
2025-10-25,3705.75,3725.00,3700.50,3715.25,1250000
2025-10-25,3715.25,3735.75,3710.00,3725.50,1280000
2025-10-25,3725.50,3745.25,3720.75,3735.00,1320000
2025-10-25,3735.00,3755.50,3730.25,3745.75,1350000
2025-10-25,3745.75,3765.00,3740.50,3755.25,1280000
